,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),Engagement,year,month,day,dayofweek,subscribers_lag_1,subscribers_lag_2,subscribers_lag_3,subscribers_lag_4,subscribers_lag_5,subscribers_lag_6,subscribers_lag_7,views_lag_1,views_lag_2,views_lag_3,views_lag_4,views_lag_5,views_lag_6,views_lag_7,subscribers_rolling_mean_7,views_rolling_mean_7
11,{TF2} DKD destroys a trash talker,2016-06-09,8,0,40,2245,72.4057,9,8649,15.1,48,2016.0,6.0,9.0,3.0,0.0,0.0,0.0,3.0,6.0,1.0,33.0,177.0,38.0,645.0,435.0,496.0,164.0,4456.0,2.7142857142857144,600.0
12,{TF2} The Soldier Song,2017-06-16,7,10,124,4593,94.9035,10,36752,7.14,141,2017.0,6.0,16.0,4.0,9.0,0.0,0.0,0.0,3.0,6.0,1.0,2245.0,177.0,38.0,645.0,435.0,496.0,164.0,4.0,1232.7142857142858
13,POOTIS POW { YTPMV },2016-08-17,7,10,20,945,8.4114,1,4392,9.22,37,2016.0,8.0,17.0,2.0,10.0,9.0,0.0,0.0,0.0,3.0,6.0,4593.0,2245.0,177.0,38.0,645.0,435.0,496.0,3.2857142857142856,1296.857142857143
14,LET ME HEAR YOU SAY AAAAHHHHHHH!!!!!,2015-10-24,7,66,110,6645,9.6063,6,57028,6.51,183,2015.0,10.0,24.0,5.0,1.0,10.0,9.0,0.0,0.0,0.0,3.0,945.0,4593.0,2245.0,177.0,38.0,645.0,435.0,3.7142857142857144,2184.0
15,{TF2} Yeti Spagetti,2017-10-29,7,5,7,134,3.0713,0,1076,4.28,19,2017.0,10.0,29.0,6.0,6.0,1.0,10.0,9.0,0.0,0.0,0.0,6645.0,945.0,4593.0,2245.0,177.0,38.0,645.0,3.7142857142857144,2111.0
16,Just TF2 moments I,2017-06-06,7,0,11,189,5.4568,1,250,3.6,18,2017.0,6.0,6.0,1.0,0.0,6.0,1.0,10.0,9.0,0.0,0.0,134.0,6645.0,945.0,4593.0,2245.0,177.0,38.0,3.857142857142857,2132.5714285714284
17,[TF2] - Playing Pyro Is Hard #shorts,2023-05-22,6,1,19,1683,6.5529,3,245,1.22,26,2023.0,5.0,22.0,0.0,1.0,0.0,6.0,1.0,10.0,9.0,0.0,189.0,134.0,6645.0,945.0,4593.0,2245.0,177.0,4.285714285714286,2347.714285714286
18,ETF2L Season 27 ( Open Division ) Pain Killers vs Zip n Dip,2017-06-23,6,0,5,76,1.9151,0,429,4.2,11,2017.0,6.0,23.0,4.0,3.0,1.0,0.0,6.0,1.0,10.0,9.0,1683.0,189.0,134.0,6645.0,945.0,4593.0,2245.0,3.0,2037.857142857143
19,{ TF2 } DKD destroys a trash talker #3,2016-12-30,6,0,18,1195,35.7812,9,5662,11.78,24,2016.0,12.0,30.0,4.0,0.0,3.0,1.0,0.0,6.0,1.0,10.0,76.0,1683.0,189.0,134.0,6645.0,945.0,4593.0,2.857142857142857,1552.4285714285713
20,[TF2]  -Rep for being Muslim Egyptian,2018-09-12,6,0,18,246,4.2883,3,1862,10.31,24,2018.0,9.0,12.0,2.0,9.0,0.0,3.0,1.0,0.0,6.0,1.0,1195.0,76.0,1683.0,189.0,134.0,6645.0,945.0,3.142857142857143,1452.5714285714287
21,{TF2} DKD destroys a trash talker #4,2017-05-25,6,1,19,735,26.6013,1,3895,9.73,26,2017.0,5.0,25.0,3.0,3.0,9.0,0.0,3.0,1.0,0.0,6.0,246.0,1195.0,76.0,1683.0,189.0,134.0,6645.0,2.4285714285714284,608.2857142857143
22,{ TF2 } U want SuM PicAxE,2017-04-11,6,0,5,77,0.4689,0,258,5.43,11,2017.0,4.0,11.0,1.0,1.0,3.0,9.0,0.0,3.0,1.0,0.0,735.0,246.0,1195.0,76.0,1683.0,189.0,134.0,2.4285714285714284,600.1428571428571
23,{ TF2 } DKD destroys a hacker #3,2017-09-15,6,1,15,331,10.332,1,1323,5.9,22,2017.0,9.0,15.0,4.0,0.0,1.0,3.0,9.0,0.0,3.0,1.0,77.0,735.0,246.0,1195.0,76.0,1683.0,189.0,2.4285714285714284,620.4285714285714
24,Team Fortress 2 Gameplay,2015-08-24,6,1,4,48,0.5739,1,103,9.71,11,2015.0,8.0,24.0,0.0,1.0,0.0,1.0,3.0,9.0,0.0,3.0,331.0,77.0,735.0,246.0,1195.0,76.0,1683.0,2.142857142857143,386.85714285714283
25,DKD destroys a trash talker #6,2018-06-02,6,1,7,156,4.4104,1,1069,6.64,14,2018.0,6.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0,48.0,331.0,77.0,735.0,246.0,1195.0,76.0,2.2857142857142856,398.2857142857143
26,{TF2} Camping is fun,2017-07-23,5,0,5,103,2.086,0,322,1.55,10,2017.0,7.0,23.0,6.0,1.0,1.0,1.0,0.0,1.0,3.0,9.0,156.0,48.0,331.0,77.0,735.0,246.0,1195.0,1.0,242.28571428571428
27,SKIBIDI BOP MM DADA #shorts,2020-12-20,5,2,6,177,0.3973,1,2118,4.15,13,2020.0,12.0,20.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,103.0,156.0,48.0,331.0,77.0,735.0,246.0,0.7142857142857143,232.42857142857142
28,Shitty youtuber plays shitty games { Episode #1 },2017-08-13,5,0,4,58,1.0789,0,251,0.8,9,2017.0,8.0,13.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,177.0,103.0,156.0,48.0,331.0,77.0,735.0,0.5714285714285714,135.71428571428572
